Date,Close
2022-11-10,1174.34
2022-11-11,1201.41
2022-11-14,1195.59
2022-11-15,1190.22
2022-11-16,1183.4
2022-11-17,1186.46
2022-11-18,1185.82
2022-11-21,1164.48
2022-11-22,1170.94
2022-11-23,1167.28
2022-11-24,1177.35
2022-11-25,1194.93
2022-11-28,1235.99
2022-11-29,1238.11
2022-11-30,1246.85
2022-12-01,1243.18
2022-12-02,1242.65
2022-12-05,1224.53
2022-12-06,1228.07
2022-12-07,1209.94
2022-12-08,1209.37
2022-12-09,1191.05
2022-12-12,1192.87
2022-12-13,1198.3
2022-12-14,1193.97
2022-12-15,1177.01
2022-12-16,1171.19
2022-12-19,1186.57
2022-12-20,1196.84
2022-12-21,1179.82
2022-12-22,1176.76
2022-12-23,1142.25
2022-12-26,1152.22
2022-12-27,1161.65
2022-12-28,1161.53
2022-12-29,1161.01
2022-12-30,1162.79
2023-01-02,1175.89
2023-01-03,1167.28
2023-01-04,1149.71
2023-01-05,1147.66
2023-01-06,1158.09
2023-01-09,1185.43
2023-01-10,1167.9
2023-01-11,1153.18
2023-01-12,1128.28
2023-01-13,1126.45
2023-01-16,1115.72
2023-01-17,1131.56
2023-01-18,1129.69
2023-01-19,1128.48
2023-01-20,1115.06
2023-01-23,1109.42
2023-01-24,1102.87
2023-01-25,1087.63
2023-01-27,1066.99
2023-01-30,1077.22
2023-01-31,1074.52
2023-02-01,1068.16
2023-02-02,1062.24
2023-02-03,1063.18
2023-02-06,1055.17
2023-02-07,1052.64
2023-02-08,1073.66
2023-02-09,1075.53
2023-02-10,1066.67
2023-02-13,1060.6
2023-02-14,1085.59
2023-02-15,1110.18
2023-02-16,1109.31
2023-02-17,1113.94
2023-02-20,1102.17
2023-02-21,1111.16
2023-02-22,1085.96
2023-02-23,1080.76
2023-02-24,1088.15
2023-02-27,1080.92
2023-02-28,1060.24
2023-03-01,1069.98
2023-03-02,1061.83
2023-03-03,1088.93
2023-03-06,1099.56
2023-03-08,1103.51
2023-03-09,1076.99
2023-03-10,1060.3
2023-03-13,1042.87
2023-03-14,1038.96
2023-03-15,1021.21
2023-03-16,1016.12
2023-03-17,1014.84
2023-03-20,1004.86
2023-03-21,1036.11
2023-03-22,1039.26
2023-03-23,1026.11
2023-03-24,1005.8
2023-03-27,1021.43
2023-03-28,1026.2
2023-03-29,1020.13
2023-03-31,1064.12
2023-04-03,1064.3
2023-04-05,1061.74
2023-04-06,1068.86
2023-04-10,1061.29
2023-04-11,1066.54
2023-04-12,1071.24
2023-04-13,1075.28
2023-04-17,1080.73
2023-04-18,1068.36
2023-04-19,1073.68
2023-04-20,1070.96
2023-04-21,1072.31
2023-04-24,1076.42
2023-04-25,1084.66
2023-04-26,1078.29
2023-04-27,1085.12
2023-04-28,1104.95
2023-05-02,1114.33
2023-05-03,1104.77
2023-05-04,1117.5
2023-05-05,1114.65
2023-05-08,1128.41
2023-05-09,1131.91
2023-05-10,1139.69
2023-05-11,1132.25
2023-05-12,1134.1
2023-05-15,1136.33
2023-05-16,1120.15
2023-05-17,1113.53
2023-05-18,1111.14
2023-05-19,1114.74
2023-05-22,1120.7
2023-05-23,1120.49
2023-05-24,1113.97
2023-05-25,1113.83
2023-05-26,1144.21
2023-05-29,1150.65
2023-05-30,1150.35
2023-05-31,1127.5
2023-06-01,1124.47
2023-06-02,1120.79
2023-06-05,1130.86
2023-06-06,1131.81
2023-06-07,1140.4
2023-06-08,1141.08
2023-06-09,1133.0
2023-06-12,1134.01
2023-06-13,1150.76
2023-06-14,1164.91
2023-06-15,1165.23
2023-06-16,1176.57
2023-06-19,1164.89
2023-06-20,1167.31
2023-06-21,1170.59
2023-06-22,1157.45
2023-06-23,1147.97
2023-06-26,1139.21
2023-06-27,1139.62
2023-06-28,1154.71
2023-06-30,1164.18
2023-07-03,1194.06
2023-07-04,1181.76
2023-07-05,1179.82
2023-07-06,1204.58
2023-07-07,1202.23
2023-07-10,1248.54
2023-07-11,1262.08
2023-07-12,1263.47
2023-07-13,1252.17
2023-07-14,1251.12
2023-07-17,1276.68
2023-07-18,1287.53
2023-07-19,1297.29
2023-07-20,1295.72
2023-07-21,1255.61
2023-07-24,1230.22
2023-07-25,1229.43
2023-07-26,1249.41
2023-07-27,1237.78
2023-07-28,1250.22
2023-07-31,1260.81
2023-08-01,1242.98
2023-08-02,1229.7
2023-08-03,1224.53
2023-08-04,1241.17
2023-08-07,1248.24
2023-08-08,1240.73
2023-08-09,1248.91
2023-08-10,1254.48
2023-08-11,1259.77
2023-08-14,1274.65
2023-08-16,1273.62
2023-08-17,1255.24
2023-08-18,1264.54
2023-08-21,1250.74
2023-08-22,1250.44
2023-08-23,1251.83
2023-08-24,1230.79
2023-08-25,1225.11
2023-08-28,1212.9
2023-08-29,1201.28
2023-08-30,1200.14
2023-08-31,1194.66
2023-09-01,1197.46
2023-09-04,1196.49
2023-09-05,1202.9
2023-09-06,1205.43
2023-09-07,1207.07
2023-09-08,1215.11
2023-09-11,1228.21
2023-09-12,1210.47
2023-09-13,1216.52
2023-09-14,1217.64
2023-09-15,1219.9
2023-09-18,1209.27
2023-09-20,1182.32
2023-09-21,1173.71
2023-09-22,1168.82
2023-09-25,1161.63
2023-09-26,1162.64
2023-09-27,1175.75
2023-09-28,1158.48
2023-09-29,1163.89
2023-10-03,1150.56
2023-10-04,1148.57
2023-10-05,1148.55
2023-10-06,1150.48
2023-10-09,1140.68
2023-10-10,1145.72
2023-10-11,1163.91
2023-10-12,1166.07
2023-10-13,1166.02
2023-10-16,1163.41
2023-10-17,1168.97
2023-10-18,1153.46
2023-10-19,1144.6
2023-10-20,1141.1
2023-10-23,1123.29
2023-10-25,1120.68
2023-10-26,1105.07
2023-10-27,1124.58
2023-10-30,1147.76
2023-10-31,1135.55
2023-11-01,1140.26
2023-11-02,1151.58
2023-11-03,1151.33
2023-11-06,1160.91
2023-11-07,1153.36
2023-11-08,1159.37
2023-11-09,1146.79
2023-11-10,1148.95
2023-11-13,1148.8
2023-11-15,1169.57
2023-11-16,1171.68
2023-11-17,1169.12
2023-11-20,1166.04
2023-11-21,1180.71
2023-11-22,1185.33
2023-11-23,1188.95
2023-11-24,1188.16
2023-11-28,1188.4
2023-11-29,1191.53
2023-11-30,1179.99
2023-12-01,1188.35
2023-12-04,1201.21
2023-12-05,1209.92
2023-12-06,1221.51
2023-12-07,1219.5
2023-12-08,1218.85
2023-12-11,1220.64
2023-12-12,1203.12
2023-12-13,1208.03
2023-12-14,1223.02
2023-12-15,1238.63
2023-12-18,1251.24
2023-12-19,1269.65
2023-12-20,1254.29
2023-12-21,1271.86
2023-12-22,1273.1
2023-12-26,1279.55
2023-12-27,1283.92
2023-12-28,1293.2
2023-12-29,1282.98
2024-01-01,1285.61
2024-01-02,1296.26
2024-01-03,1282.16
2024-01-04,1288.79
2024-01-05,1294.27
2024-01-08,1284.17
2024-01-09,1280.77
2024-01-10,1315.31
2024-01-11,1349.91
2024-01-12,1360.65
2024-01-15,1383.88
2024-01-16,1364.53
2024-01-17,1351.57
2024-01-18,1357.9
2024-01-19,1357.4
2024-01-23,1318.81
2024-01-24,1334.0
2024-01-25,1343.13
2024-01-29,1437.41
2024-01-30,1397.28
2024-01-31,1416.14
2024-02-01,1416.17
2024-02-02,1446.99
2024-02-05,1428.45
2024-02-06,1417.31
2024-02-07,1431.55
2024-02-08,1439.47
2024-02-09,1450.02
2024-02-12,1441.68
2024-02-13,1454.34
2024-02-14,1470.49
2024-02-15,1459.8
2024-02-16,1449.84
2024-02-19,1463.17
2024-02-20,1460.22
2024-02-21,1456.92
2024-02-22,1470.86
2024-02-23,1482.65
2024-02-26,1476.4
2024-02-27,1474.73
2024-02-28,1444.93
2024-02-29,1450.07
2024-03-01,1481.16
2024-03-04,1496.33
2024-03-05,1489.18
2024-03-06,1491.96
2024-03-07,1468.06
2024-03-11,1455.82
2024-03-12,1464.59
2024-03-13,1421.65
2024-03-14,1420.96
2024-03-15,1407.81
2024-03-18,1428.9
2024-03-19,1414.78
2024-03-20,1433.14
2024-03-21,1440.31
2024-03-22,1444.33
2024-03-26,1430.98
2024-03-27,1481.88
2024-03-28,1474.93
2024-04-01,1473.87
2024-04-02,1476.03
2024-04-03,1460.79
2024-04-04,1452.18
2024-04-05,1449.37
2024-04-08,1475.06
2024-04-09,1452.9
2024-04-10,1468.7
2024-04-12,1456.37
2024-04-15,1454.06
2024-04-16,1454.98
2024-04-18,1453.57
2024-04-19,1459.32
2024-04-22,1468.98
2024-04-23,1448.6
2024-04-24,1439.52
2024-04-25,1449.25
2024-04-26,1441.88
2024-04-29,1454.26
2024-04-30,1456.22
2024-05-02,1455.78
2024-05-03,1423.46
2024-05-06,1409.1
2024-05-07,1391.18
2024-05-08,1408.13
2024-05-09,1383.88
2024-05-10,1397.08
2024-05-13,1392.39
2024-05-14,1409.64
2024-05-15,1405.87
2024-05-16,1414.88
2024-05-17,1425.15
2024-05-21,1425.57
2024-05-22,1449.92
2024-05-23,1475.13
2024-05-24,1469.37
2024-05-27,1455.48
2024-05-28,1445.5
2024-05-29,1430.19
2024-05-30,1414.38
2024-05-31,1419.89
2024-06-03,1499.23
2024-06-04,1387.01
2024-06-05,1410.31
2024-06-06,1421.08
2024-06-07,1459.15
2024-06-10,1460.59
2024-06-11,1445.97
2024-06-12,1452.57
2024-06-13,1454.48
2024-06-14,1466.69
2024-06-18,1470.14
2024-06-19,1447.93
2024-06-20,1462.87
2024-06-21,1443.52
2024-06-24,1430.88
2024-06-25,1443.47
2024-06-26,1502.9
2024-06-27,1519.3
2024-06-28,1553.9
2024-07-01,1548.69
2024-07-02,1553.68
2024-07-03,1541.02
2024-07-04,1542.61
2024-07-05,1576.95
2024-07-08,1589.14
2024-07-09,1578.59
2024-07-10,1572.59
2024-07-11,1569.04
2024-07-12,1584.99
2024-07-15,1585.49
2024-07-16,1564.67
2024-07-18,1575.02
2024-07-19,1543.72
2024-07-22,1489.65
2024-07-23,1476.97
2024-07-24,1484.71
2024-07-25,1481.44
2024-07-26,1497.94
2024-07-29,1508.93
2024-07-30,1502.03
2024-07-31,1494.36
2024-08-01,1504.17
2024-08-02,1488.31
2024-08-05,1436.69
2024-08-06,1445.35
2024-08-07,1454.06
2024-08-08,1438.48
2024-08-09,1463.47
2024-08-12,1449.89
2024-08-13,1452.87
2024-08-14,1451.11
2024-08-16,1467.34
2024-08-19,1482.48
2024-08-20,1490.0
2024-08-21,1492.71
2024-08-22,1492.17
2024-08-23,1494.01
2024-08-26,1506.58
2024-08-27,1494.48
2024-08-28,1492.34
2024-08-29,1514.87
2024-08-30,1503.62
2024-09-02,1510.22
2024-09-03,1503.12
2024-09-04,1508.53
2024-09-05,1487.04
2024-09-06,1459.0
2024-09-09,1456.63
2024-09-10,1455.71
2024-09-11,1445.73
2024-09-12,1473.91
2024-09-13,1466.77
2024-09-16,1465.5
2024-09-17,1466.44
2024-09-18,1457.63
2024-09-19,1463.83
2024-09-20,1480.01
2024-09-23,1487.43
2024-09-24,1483.45
2024-09-25,1488.01
2024-09-26,1491.99
2024-09-27,1520.1
2024-09-30,1470.7
2024-10-01,1459.0
2024-10-03,1401.38
2024-10-04,1381.01
2024-10-07,1365.27
2024-10-08,1391.79
2024-10-09,1369.13
2024-10-10,1365.6
2024-10-11,1366.64
2024-10-14,1367.07
2024-10-15,1338.68
2024-10-16,1348.69
